ID,TEXT,QUESTION_ID,CORRECT
1,Желтый,1,false
2,Красный,1,true
3,Черный,1,false

4,1 раз в 3 года,2,false
5,Не реже 1 раза в 7 лет,2,false
6,Не реже 1 раза в 5 лет,2,true

7,Водные, пенные, порошковые,3,false
8,Водные, пенные, хладоновые, порошковые, углекислотные,3,true
9,Углекислотные,3,false

10,Вертикально,4,false
11,Горизонтально на стеллажах или рамах,4,true
12,В ячейках,4,false

13,Газовая сварка,5,false
14,Варка битумных масс,5,false
15,Штамповка,5,true

16,Пожарным гидрантом,6,false
17,Ящиком с песком,6,false
18,Огнетушителем,6, true

19,Классов А, В и С,7,false
20,Воспламеняемые и невоспламеняемые,7,false
21,Горючие и негорючие,7,true

22,Минимум 100 на 100 см,8,true
23,Минимум 75 на 75 см,8,false
24,Размер – любой, обязательна квадратная форма,8,false

25,А, В, С и Е,9,false
26,В,9,false
27,А и В,true

28,Обозначаются знаками "Место для курения",10,true
29,Наличие специальных знаков не регламентируется,10,false
30,Способ обозначения определяет руководитель самостоятельно,10,false




